Nome,Regra
Conway's Life,B3/S23
HighLife,B36/S23
Day & Night,B3678/S34678
2x2,B36/S125
Seeds,B2/S
Replicator,B1357/S1357
Life Without Death,B3/S012345678
Maze,B3/S12345
Anneal,B4678/S35678
Diamoeba,B35678/S5678
Margolus,B2/S
Golly,B3678/S45678
Brian's Brain,B/S012345678
Corral,B35/S234
CorralPlus,B35/S2345
Pulsar,B36/S23
2D Cellular Automaton,B2/S0123456789
Conway's Life 2,B36/S23
Small Exploder,B1357/S1357
Extended Life,B3/S012345678
AntiLife,B/S012345678
Replicator 2,B1357/S1357
